station_sid,same_pole_id,jorudan_code,pickup_and_dropoff_flg
34348120-2a78-46f3-9234-5d5b20cabfc4,0001002@HiroshimaArea,,3
82da3a80-0ceb-4d63-aae8-425f786b2240,0001003@HiroshimaArea,,3
36468d12-cf5d-400e-812d-af2d671c342e,0001004@HiroshimaArea,,3
45e83a7c-12b7-4013-aa3e-681b5df58578,0001005@HiroshimaArea,,3
6d84218f-0839-40ac-96fa-f886c6442fbd,0001050@HiroshimaArea,,3
dcad7444-e787-42c4-936e-87d3be4a985c,0001006@HiroshimaArea,,3
f0ce0a2a-9f8a-46f1-a462-9174bb30af45,0001007@HiroshimaArea,,3
475fe985-03ca-4776-a817-fa1ccb98746c,0001008@HiroshimaArea,,3
f7b61ad8-7334-43c8-9844-b9d428947fec,0001009@HiroshimaArea,,3
9a99b23c-1362-4d65-ab87-c5313a7d8491,0100001@HiroshimaArea,,3
49b5ab7f-078f-4141-aab7-a5ba9bec1609,0100002@HiroshimaArea,,3
5d752f1d-28a0-4497-b3eb-be9d52d4c322,0101001@HiroshimaArea,,3
c443bfd0-9d28-43de-8f92-b05922810429,0101002@HiroshimaArea,,3
03dfab94-fac2-4123-9f89-86e04e1afd07,0102001@HiroshimaArea,,3
3b7c8c29-1354-4864-a7b8-366b765c2155,0102002@HiroshimaArea,,3
a9d5cd27-efd8-430c-bf6d-eb4898d3923c,0103001@HiroshimaArea,,3
9587bead-29d7-4e6d-bc56-165590268923,0103002@HiroshimaArea,,3
efa5b617-63dc-4be4-86e6-3535e79914fb,0104001@HiroshimaArea,,3
22731d7c-685d-48b4-a3f0-172fd7795acb,0104002@HiroshimaArea,,3
f2fdf631-dc1e-493f-809f-2dc5ea0e7b28,,,1
3cc45718-b02b-43f1-94ca-d02209c21895,0010506@HiroshimaArea,,3
a2f2a76d-af6a-4471-9f8c-690e94ab2bf4,0105001@HiroshimaArea,,3
40331967-df7f-49c2-98b1-5032965f3c23,0105002@HiroshimaArea,,3
1bbccc44-7eee-4359-86aa-ca462833fdf5,0106001@HiroshimaArea,,3
c842f72d-7091-48ad-940d-77d0bcc7eb77,0106002@HiroshimaArea,,3
223b764f-44a6-4ed9-b119-51d17d26935b,0107001@HiroshimaArea,,3
69b963b8-61f3-4367-bb73-1c733197ca26,0107002@HiroshimaArea,,3
6609fd53-9e3f-4124-bafd-e2f9797ac512,0107501@HiroshimaArea,,3
071fb917-9478-45ce-903d-f5c1baf4dc98,0108001@HiroshimaArea,,3
e97f6c97-c6d1-45fc-ab3b-67c6013f53ae,0108002@HiroshimaArea,,3
79e90cc8-6121-458b-af36-a57ccadfad95,0109001@HiroshimaArea,,3
2e013d68-58ad-4b40-8043-c091742a24ae,0013001@HiroshimaArea,,3
92d4b0d3-2565-465e-9a82-9ca3a8c03eb3,0013002@HiroshimaArea,,3
6258e6eb-d9c2-4e9e-ba0e-0b2d4a44ca64,1332001@HiroshimaArea,,3
6528c86a-57b7-486e-9c16-12ca60b66d37,1332002@HiroshimaArea,,3
2d700650-11ad-4c6f-92cf-497f1db804cc,1333001@HiroshimaArea,,3
66a87c73-35fa-426f-8a60-33301955b0c2,1333002@HiroshimaArea,,3
ecb3d64e-4659-4b0d-b239-b3f97c6d69ac,1334001@HiroshimaArea,,3
a285c0e1-c53f-41e4-af34-11b3cdaa7a18,1334002@HiroshimaArea,,3
bc83fe83-c4d9-4302-96d6-0c4054fc308b,1335001@HiroshimaArea,,3
e50df6cf-fdbe-4877-a4ef-1efa5be917fc,1335002@HiroshimaArea,,3
881ebfcf-6473-41eb-9510-1309f32b5caf,1337001@HiroshimaArea,,3
9ba9b233-4e42-42f3-b9d0-49cb047ee69a,1337002@HiroshimaArea,,3
d7dd5067-c501-4958-b4de-8b291b75d283,1338001@HiroshimaArea,,3
d0f2bc5b-bf41-4132-9ee3-29c7beec311a,1338002@HiroshimaArea,,3
a19d73ec-40cc-4f18-9167-95b3b49740fc,4211501@HiroshimaArea,,3
db747320-6df4-4ec0-bbb8-29807d745f97,4211502@HiroshimaArea,,3
e87d0ebb-5513-433a-9fcb-9af0744e2750,1340001@HiroshimaArea,,3
0b9b8e00-214e-4cba-a1ea-7d15529f5ec8,1340002@HiroshimaArea,,3
0e3456ee-fee3-4143-b9ee-87d306612c08,1341001@HiroshimaArea,,3
ca24c606-adbd-4c7b-9be3-4a19291a7d68,1341002@HiroshimaArea,,3
06e73e0f-f763-469b-a0b2-b79fb033a0c1,1342001@HiroshimaArea,,3
c9588350-fdac-4a69-87fa-1bdefc509356,1342002@HiroshimaArea,,3
3bc9fcae-dc9b-4bd6-8933-f8e8368e357e,1343001@HiroshimaArea,,3
1da3b24a-8b2a-49b3-87d9-a66b8f5a151d,1343002@HiroshimaArea,,3
70bc3ab2-4c10-4d2d-a3f8-6c198d8424af,1344001@HiroshimaArea,,3
a2cbe6b3-a0c6-437b-8ea5-30792266b9f1,1344002@HiroshimaArea,,3
9516bd80-d99e-4d7f-a56a-c0f4fc8a55db,1345001@HiroshimaArea,,3
b242f302-41f1-430f-8dea-87c37cfc7c60,1345002@HiroshimaArea,,3
a64979e5-10b7-485d-a4fe-adcfb4ee52a2,1346001@HiroshimaArea,,3
4923be14-741c-48dd-a77b-b512f363eb08,1346002@HiroshimaArea,,3
